"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"F4S7I6GZ","journalArticle","","","","","","","","","","","2019-09-10 12:00:32","2019-09-10 12:00:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7LU6URRT","journalArticle","","Siemens, George","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","","","","","","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities – Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","","2019-09-10 12:01:03","2019-09-10 12:01:03","","3","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/shu-yi/Zotero/storage/GJ7JG59F/Siemens - Learning Analytics and Educational Data Mining To.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32RN6SBB","book","2014","Grolemund, Garrett","Hands-on programming with R","","978-1-4493-5901-0","","","","","2014","2019-09-10 12:31:57","2019-09-10 12:31:57","","","230","","","","","","","","","","O'Reilly","Sebastopol, CA","en","","","","","Library of Congress ISBN","QA276.45.R3 G76 2014","OCLC: ocn887746093","","/Users/shu-yi/Zotero/storage/5S97DPE3/Grolemund - 2014 - Hands-on programming with R.pdf","","","Data processing; Handbooks, manuals, etc; Mathematical statistics; Programmeertalen; R (Computer program language); Statistiek","","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKJ9GIFK","journalArticle","","Hadwin, Allyson; Oshige, Mika","Self-Regulation, Coregulation, and Socially Shared Regulation: Exploring Perspectives of Social in Self-Regulated Learning Theory","","","","","","Background/Context: Models of self-regulated learning (SRL) have increasingly acknowledged aspects of social context influence in its process; however, great diversity exists in the theoretical positioning of “social” in these models. Purpose/Objective/Research Question/Focus of Study: The purpose of this review article is to introduce and contrast social aspects across three perspectives: self-regulated learning, coregulated learning, and socially shared regulation of learning. Research Design: The kind of research design taken in this review paper is an analytic essay. The article contrasts self-regulated, coregulated, and socially shared regulation of learning in terms of theory, operational definition, and research approaches. Data Collection and Analysis: Chapters and articles were collected through search engines (e.g., EBSCOhost, PsycINFO, PsycARTICLES, ERIC). Findings/Results: Three different perspectives are summarized: self-regulation, coregulation, and socially shared regulation of learning. Conclusions/Recommendations: In this article, we contrasted three different perspectives of social in each model, as well as research based on each model. In doing so, the article introduces a language for describing various bodies of work that strive to consider roles of individual and social context in the regulation of learning. We hope to provide a frame for considering multimethodological approaches to study SRL in future research.","","2019-09-12 09:30:39","2019-09-12 09:30:39","","25","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/shu-yi/Zotero/storage/EDFSRFHD/Hadwin and Oshige - Self-Regulation, Coregulation, and Socially Shared.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHBR9D5P","journalArticle","2013","Lin, Shinyi; Chen, Yu-Chuan","Distributed Cognition and Its Antecedents in the Context of Computer-Supported Collaborative Learning (CSCL)","Asian Social Science","","1911-2025, 1911-2017","10.5539/ass.v9n7p107","http://www.ccsenet.org/journal/index.php/ass/article/view/27935","Offering great flexibility, information and communication technologies (ICTs) facilitate immediate communication and interaction in either hybrid instruction or online training. Computer-supported collaborative learning (CSCL), mediated by ICTs, have come a long way to be embedded in learning management systems (LMSs). In the context of CSCL, groups of participants are involved to collaborate or interact within the group or between the groups. Of interest, this study proposes a conceptual model integrating Biggs’ Presage, Process, Product (3P) model and Front-end Analysis (FEA) to explore determinants of distributed cognition in CSCL. This study affirms that (1) the presage factors (i.e., learner attributes, instructional attributes, contextual attributes have an influence on collaborative practice (CP); (2) the process factor, collaborative practice (CP), has an influence on distributed cognition (Dcog); and (3) participation is a mediator on learner attributes to collaborative practices. The finding lends support to the empirical study by conducting the Delphi technique for qualitative method and/or a large-scale survey for quantitative study. The findings are discussed and further studies are suggested.","2013-06-01","2019-09-12 09:30:42","2019-09-12 09:30:42","2019-09-12 09:30:42","p107","","7","9","","ASS","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/shu-yi/Zotero/storage/D33F9PTU/Lin and Chen - 2013 - Distributed Cognition and Its Antecedents in the C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5CFBK8ZA","journalArticle","2019","Gagnon, Mathieu; Cormier, Stéphanie","Retrieval Practice and Distributed Practice: The Case of French Canadian Students","Canadian Journal of School Psychology","","0829-5735, 2154-3984","10.1177/0829573518773225","http://journals.sagepub.com/doi/10.1177/0829573518773225","Much evidence suggests that long-term retention can be maximized by practicing the recall of information and spreading out one’s learning over time. Nevertheless, previous surveys have shown that undergraduates often ignore the benefits of such strategies and engage in less efficient techniques such as repetitive reading and massed studying. To date, however, this research has focused exclusively on Americans and has paid little attention to potential gender differences. The present study addressed such limits by using a web-based survey of the rereading, self-testing, and distributed learning habits of 1,371 French-speaking Canadian undergraduates. Overall, the results are consistent with American data, suggesting that their original observations extend beyond American campuses. Furthermore, chi-square tests followed by standardized residual analyses suggest that females are more likely to engage in distributed learning than their male counterparts. On the contrary, there was little evidence of such an advantage in the context of self-testing.","2019-06","2019-09-12 09:30:43","2019-09-12 09:30:43","2019-09-12 09:30:43","83-97","","2","34","","Canadian Journal of School Psychology","Retrieval Practice and Distributed Practice","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/shu-yi/Zotero/storage/86R6P75W/Gagnon and Cormier - 2019 - Retrieval Practice and Distributed Practice The C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBAU6DFL","journalArticle","2018","Davis, Dan; Kizilcec, René F.; Hauff, Claudia; Houben, Geert-Jan","Scaling Effective Learning Strategies: Retrieval Practice and Long-Term Knowledge Retention in MOOCs","Journal of Learning Analytics","","19297750","10.18608/jla.2018.53.3","http://www.learning-analytics.info/journals/index.php/JLA/article/view/6098","Scientiﬁc evidence for effective learning strategies is primarily derived from studies conducted in controlled laboratory or classroom settings with homogeneous populations. Large-scale online learning environments such as MOOCs provide an opportunity to evaluate the efﬁcacy of these learning strategies in an informal learning context with a diverse learner population. Retrieval practice, a learning strategy focused on actively recalling information, is recognized as one of the most effective learning strategies in the literature. Here, we evaluate the extent to which retrieval practice facilitates long-term knowledge retention among MOOC learners using an instructional intervention. We conducted a pre-registered randomized encouragement experiment to test how retrieval practice affects learning outcomes in a MOOC. We observed no effect on learning outcomes and high levels of treatment non-compliance. This ﬁnding supports the view that evidence-based strategies do not necessarily work ”out of the box” in new learning contexts and require context-aware research on effective implementation approaches. In addition, we conducted a series of exploratory studies into long-term recall of knowledge acquired in MOOCs. Surprisingly, both passing and non-passing learners scored similarly on a knowledge post-test, retaining approximately two-thirds of what they learned over the long term.","2018-12-11","2019-09-12 09:30:45","2019-09-12 09:30:45","2019-09-12 09:30:45","21-41","","3","5","","JLA","Scaling Effective Learning Strategies","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/shu-yi/Zotero/storage/CQK8HP3X/Davis et al. - 2018 - Scaling Effective Learning Strategies Retrieval P.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Y4IW4DK","journalArticle","2018","Davis, Dan; Chen, Guanliang; Hauff, Claudia; Houben, Geert-Jan","Activating learning at scale: A review of innovations in online learning strategies","Computers & Education","","03601315","10.1016/j.compedu.2018.05.019","https://linkinghub.elsevier.com/retrieve/pii/S0360131518301337","Taking advantage of the vast history of theoretical and empirical ﬁndings in the learning literature we have inherited, this research oﬀers a synthesis of prior ﬁndings in the domain of empirically evaluated active learning strategies in digital learning environments. The primary concern of the present study is to evaluate these ﬁndings with an eye towards scalable learning. Massive Open Online Courses (MOOCs) have emerged as the new way to reach the masses with educational materials, but so far they have failed to maintain learners' attention over the long term. Even though we now understand how eﬀective active learning principles are for learners, the current landscape of MOOC pedagogy too often allows for passivity — leading to the unsatisfactory performance experienced by many MOOC learners today. As a starting point to this research we took John Hattie's seminal work from 2008 on learning strategies used to facilitate active learning. We considered research published between 2009 and 2017 that presents empirical evaluations of these learning strategies. Through our systematic search we found 126 papers meeting our criteria and categorized them according to Hattie's learning strategies. We found large-scale experiments to be the most challenging environment for experimentation due to their size, heterogeneity of participants, and platform restrictions, and we identiﬁed the three most promising strategies for eﬀectively leveraging learning at scale as Cooperative Learning, Simulations & Gaming, and Interactive Multimedia.","2018-10","2019-09-12 09:30:46","2019-09-12 09:30:47","2019-09-12 09:30:46","327-344","","","125","","Computers & Education","Activating learning at scale","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/shu-yi/Zotero/storage/Z6BLBRSE/Davis et al. - 2018 - Activating learning at scale A review of innovati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73EQ2TI5","journalArticle","2018","Davis, Dan; Kizilcec, René F.; Hauff, Claudia; Houben, Geert-Jan","Scaling Effective Learning Strategies: Retrieval Practice and Long-Term Knowledge Retention in MOOCs","Journal of Learning Analytics","","19297750","10.18608/jla.2018.53.3","http://www.learning-analytics.info/journals/index.php/JLA/article/view/6098","Scientiﬁc evidence for effective learning strategies is primarily derived from studies conducted in controlled laboratory or classroom settings with homogeneous populations. Large-scale online learning environments such as MOOCs provide an opportunity to evaluate the efﬁcacy of these learning strategies in an informal learning context with a diverse learner population. Retrieval practice, a learning strategy focused on actively recalling information, is recognized as one of the most effective learning strategies in the literature. Here, we evaluate the extent to which retrieval practice facilitates long-term knowledge retention among MOOC learners using an instructional intervention. We conducted a pre-registered randomized encouragement experiment to test how retrieval practice affects learning outcomes in a MOOC. We observed no effect on learning outcomes and high levels of treatment non-compliance. This ﬁnding supports the view that evidence-based strategies do not necessarily work ”out of the box” in new learning contexts and require context-aware research on effective implementation approaches. In addition, we conducted a series of exploratory studies into long-term recall of knowledge acquired in MOOCs. Surprisingly, both passing and non-passing learners scored similarly on a knowledge post-test, retaining approximately two-thirds of what they learned over the long term.","2018-12-11","2019-09-12 09:30:48","2019-09-12 09:30:48","2019-09-12 09:30:48","21-41","","3","5","","JLA","Scaling Effective Learning Strategies","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/shu-yi/Zotero/storage/CQTLTK4I/Davis et al. - 2018 - Scaling Effective Learning Strategies Retrieval P.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GFDXEZ2R","bookSection","2016","Davis, Dan; Chen, Guanliang; van der Zee, Tim; Hauff, Claudia; Houben, Geert-Jan","Retrieval Practice and Study Planning in MOOCs: Exploring Classroom-Based Self-regulated Learning Strategies at Scale","Adaptive and Adaptable Learning","978-3-319-45152-7 978-3-319-45153-4","","","http://link.springer.com/10.1007/978-3-319-45153-4_5","Massive Open Online Courses (MOOCs) are successful in delivering educational resources to the masses, however, the current retention rates — well below 10% — indicate that they fall short in helping their audience become eﬀective MOOC learners. In this paper, we report two MOOC studies we conducted in order to test the eﬀectiveness of pedagogical strategies found to be beneﬁcial in the traditional classroom setting: retrieval practice (i.e. strengthening course knowledge through actively recalling information) and study planning (elaborating on weekly study plans). In contrast to the classroom-based results, we do not conﬁrm our hypothesis, that small changes to the standard MOOC design can teach MOOC learners valuable self-regulated learning strategies.","2016","2019-09-12 09:30:50","2019-09-12 09:30:50","2019-09-12 09:30:50","57-71","","","9891","","","Retrieval Practice and Study Planning in MOOCs","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-319-45153-4_5","","/Users/shu-yi/Zotero/storage/H3HBST3Z/Davis et al. - 2016 - Retrieval Practice and Study Planning in MOOCs Ex.pdf","","","","Verbert, Katrien; Sharples, Mike; Klobučar, Tomaž","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
